SDP Name,Rev2024,Rev2025,Mo2024,Mo2025,Inv2024,Inv2025,Churned,RevGrowth,MoGrowth,InvGrowth,ChurnProb,RiskLevel
AL MUSTAFA ENTERPRISES,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,0.99,🔴 High
WEME,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,0.99,🔴 High
BARRETT HODGSON PAKISTAN (PVT) LTD,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,0.99,🔴 High
HARLEY'S LIMITED BURUNDI,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,0.99,🔴 High
HATAY PHARMACEUTICAL JOINT CO.,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,0.99,🔴 High
FRIENDS ENT. - FAISALABAD,142663.0,0.0,3.0,0.0,4.0,0.0,1,-100.0,-3.0,-100.0,0.98,🔴 High
RATANAK PHARMA CO. LTD,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,-2.0,0.0,0.97,🔴 High
INACTIVE - NUSRAT PHARMA,23708909.0,0.0,4.0,0.0,608.0,0.0,1,-100.0,-4.0,-100.0,0.97,🔴 High
KHAN SEHAT LTD,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,-2.0,0.0,0.97,🔴 High
DUOC DAI NAM JOINT-STOCK CO,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,-2.0,0.0,0.97,🔴 High
AL-BARAKAH MEDICAL CENTER,3250.0,0.0,1.0,0.0,4.0,0.0,1,-100.0,-1.0,-100.0,0.96,🔴 High
KARACHI MEDICAL COMPANY,78100.0,0.0,4.0,0.0,7.0,0.0,1,-100.0,-4.0,-100.0,0.95,🔴 High
ALKHIDMAT HEALTH FOUNDATION,100512.0,0.0,3.0,0.0,1.0,0.0,1,-100.0,-3.0,-100.0,0.95,🔴 High
SCITECH HEALTH (PVT) LTD.(QnE),4590898.0,0.0,5.0,0.0,338.0,0.0,1,-100.0,-5.0,-100.0,0.93,🔴 High
ITTEFAQ MEDICAL STORE-QUETTA,0.0,0.0,2.0,0.0,1.0,0.0,1,0.0,-2.0,-100.0,0.92,🔴 High
CEO DISTRICT HEALTH AUTHORITY,126659.0,0.0,1.0,0.0,1.0,0.0,1,-100.0,-1.0,-100.0,0.91,🔴 High
