SDP Name,Rev2024,Rev2025,Mo2024,Mo2025,Inv2024,Inv2025,Churned,RevGrowth,MoGrowth,InvGrowth,ChurnProb,RiskLevel
S.K. DISTRIBUTOR-ISLAMABAD INST DIS,1115856.0,12185674.0,1.0,10.0,25.0,438.0,0,992.0471817152034,9.0,1652.0,0.0,
SN INTERNATIONAL,5620.0,22878.0,1.0,4.0,3.0,35.0,0,307.0818505338078,3.0,1066.6666666666665,0.0,
N.S. TRADERS,0.0,0.0,10.0,11.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
AGA KHAN HEALTH SERVICES PAKISTAN,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
Services Gen. Hosp. Lahore,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
MS PUNJAB INST. OF NEUROSCIENCES-LH,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
MS CPEIC MULTAN,0.0,12352.0,2.0,2.0,0.0,2.0,0,1235200.0,0.0,200.0,0.0,
"MOIC - CPMC, MEDICAL STORE",4119863.0,3385479.0,5.0,8.0,133.0,87.0,0,-17.825447108314037,3.0,-34.58646616541353,0.0,
MH INTERNATIONAL GROUP LLC,27446.0,20905.0,3.0,4.0,3.0,10.0,0,-23.83225242293959,1.0,233.33333333333334,0.0,
PREMIER SALES PVT LTD-ATTOCK,69013080.0,93361544.0,12.0,12.0,1923.0,2143.0,0,35.280940946266995,0.0,11.440457618304732,0.0,
PREMIER SALES PVT LTD-ABBOTTABAD,102567224.0,130072481.0,12.0,12.0,2092.0,2370.0,0,26.81680943222174,0.0,13.288718929254303,0.0,
PREMIER AGENCIES - KORANGI,0.0,4568559.0,0.0,5.0,0.0,349.0,0,456855900.0,5.0,34900.0,0.0,
PHARMEVO (PVT) LTD,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
A Q TRADERS - RAWALPINDI,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
PHARMA SOLUTION,0.0,5752335.0,0.0,12.0,0.0,479.0,0,575233500.0,12.0,47900.0,0.0,
PHARMA CURE INTERNATIONAL,0.0,363674.0,0.0,3.0,0.0,47.0,0,36367400.0,3.0,4700.0,0.0,
PATIENT'S CARE,0.0,0.0,10.0,11.0,9.0,7.0,0,0.0,1.0,-22.22222222222222,0.0,
ZAIDI TRADERS,0.0,0.0,0.0,11.0,0.0,19.0,0,0.0,11.0,1900.0,0.0,
PAKISTAN MEDICAL SUPPLY CORP,0.0,0.0,4.0,12.0,7.0,14.0,0,0.0,8.0,100.0,0.0,
YASMINA PHARMA SARL,0.0,5000.0,0.0,1.0,0.0,3.0,0,500000.0,1.0,300.0,0.0,
OTSUKA PAKISTAN LTD,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
Wazirabad institute of Cardiology,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,
ONE TIME BUYER,9043023.0,11181483.0,12.0,12.0,9988.0,11690.0,0,23.647623145490176,0.0,17.040448538245894,0.0,
ONCOLINK PHARMA DISTRIBUTORS,0.0,0.0,2.0,10.0,3.0,14.0,0,0.0,8.0,366.66666666666663,0.0,
ONCOCARE PHARMACY,15321577.0,16680455.0,12.0,12.0,415.0,342.0,0,8.869047879340359,0.0,-17.59036144578313,0.0,
PREMIER SALES PVT LTD-GUJRANWALA,128284159.0,152137743.0,12.0,12.0,2225.0,2334.0,0,18.5943332255076,0.0,4.898876404494382,0.0,
PREMIER SALES PVT LTD-GUJJAR KHAN,52415121.0,66131459.0,12.0,12.0,1576.0,1671.0,0,26.16866609923499,0.0,6.027918781725888,0.0,
PREMIER SALES PVT LTD-GILGIT,33712909.0,44090743.0,12.0,12.0,992.0,1103.0,0,30.78296803162254,0.0,11.189516129032258,0.0,
PREMIER SALES PVT LTD-GHOTKI,57100648.0,88111095.0,12.0,12.0,1462.0,1759.0,0,54.30839769103846,0.0,20.314637482900135,0.0,
PREMIER SALES PVT LTD-FB AREA,216557003.0,280784800.0,12.0,12.0,2749.0,3129.0,0,29.658610024262295,0.0,13.823208439432522,0.0,
PREMIER SALES PVT LTD-FATEH GARH-LH,128815811.0,171897039.0,12.0,12.0,2201.0,2491.0,0,33.44405291987022,0.0,13.175829168559746,0.0,
PREMIER SALES PVT LTD-FAISALABAD,200866756.0,240579386.0,12.0,12.0,2544.0,2745.0,0,19.77063342427853,0.0,7.900943396226415,0.0,
PREMIER SALES PVT LTD-DADU,57348360.0,84048297.0,12.0,12.0,1457.0,1673.0,0,46.5574551739579,0.0,14.824982841455045,0.0,
PREMIER SALES PVT LTD-D.I.KHAN,94709763.0,118268453.0,12.0,12.0,1888.0,2060.0,0,24.874616147017495,0.0,9.110169491525424,0.0,
PREMIER SALES PVT LTD-D.G.KHAN,119935542.0,148922272.0,12.0,12.0,2236.0,2422.0,0,24.168590491715957,0.0,8.318425760286226,0.0,
PREMIER SALES PVT LTD-CHAKWAL,66486649.0,87851628.0,12.0,12.0,1793.0,1960.0,0,32.13423946212119,0.0,9.313998884551031,0.0,
PREMIER SALES PVT LTD-BUREWALA,0.0,65939761.0,0.0,7.0,0.0,1265.0,0,6593976100.0,7.0,126500.0,0.0,
PREMIER SALES PVT LTD-BANNU,141654892.0,197489183.0,12.0,12.0,2273.0,2579.0,0,39.415716754773285,0.0,13.462384513858336,0.0,
PREMIER SALES PVT LTD-BAHAWALPUR,99730240.0,142478435.0,12.0,12.0,2086.0,2271.0,0,42.86382445284399,0.0,8.868648130393098,0.0,
PREMIER SALES PVT LTD-BAHAWALNAGAR,66733497.0,87407765.0,12.0,12.0,1751.0,1877.0,0,30.9803455976539,0.0,7.19588806396345,0.0,
PREMIER SALES PVT LTD-BADIN,22333773.0,33363583.0,12.0,12.0,885.0,1051.0,0,49.38623670975791,0.0,18.757062146892657,0.0,
PREMIER SALES PVT LTD-LAHORE,285174430.0,348541283.0,12.0,12.0,2838.0,3123.0,0,22.220383854190572,0.0,10.042283298097251,0.0,
PREMIER SALES PVT LTD-KORANGI,237100830.0,293688449.0,12.0,12.0,2650.0,3199.0,0,23.866478662263646,0.0,20.71698113207547,0.0,
PREMIER SALES PVT LTD-KOHAT,130106989.0,178022345.0,12.0,12.0,2331.0,2617.0,0,36.82765727519834,0.0,12.26941226941227,0.0,
PREMIER SALES PVT LTD-KHARIAN,0.0,59592118.0,0.0,11.0,0.0,1443.0,0,5959211800.0,11.0,144300.0,0.0,
PREMIER SALES PVT LTD-KHANEWAL,67784896.0,95110225.0,12.0,12.0,1912.0,2075.0,0,40.31182551345952,0.0,8.52510460251046,0.0,
PREMIER SALES PVT LTD-KASUR,60825658.0,85754695.0,12.0,12.0,1590.0,1826.0,0,40.984409901492555,0.0,14.842767295597485,0.0,
PREMIER SALES PVT LTD-JHELUM,109951128.0,146114532.0,12.0,12.0,2184.0,2381.0,0,32.890434739332555,0.0,9.02014652014652,0.0,
PREMIER SALES PVT LTD-JHANG,131607034.0,173465616.0,12.0,12.0,2316.0,2556.0,0,31.805733119097567,0.0,10.362694300518134,0.0,
PREMIER SALES PVT LTD-JACOBABAD,65325914.0,96547531.0,12.0,12.0,1618.0,1899.0,0,47.793616787359454,0.0,17.367119901112485,0.0,
PREMIER SALES PVT LTD-ISLAMABAD,183682110.0,232006953.0,12.0,12.0,2586.0,2884.0,0,26.308954639077264,0.0,11.523588553750967,0.0,
PREMIER SALES PVT LTD-HYDERABAD,151022510.0,192298969.0,12.0,12.0,2462.0,2719.0,0,27.331328952220435,0.0,10.438667749796913,0.0,
PREMIER SALES PVT LTD-HASSAN ABDAL,91473956.0,129696814.0,12.0,12.0,2050.0,2281.0,0,41.785508872055345,0.0,11.26829268292683,0.0,
PREMIER SALES PVT LTD-HARIPUR,74251971.0,95391249.0,12.0,12.0,1832.0,2063.0,0,28.469652340945938,0.0,12.609170305676857,0.0,
PREMIER SALES PVT LTD-HAFIZABAD,35397365.0,49641041.0,12.0,12.0,1147.0,1311.0,0,40.239368099857145,0.0,14.298169136878814,0.0,
PREMIER SALES PVT LTD-GWADAR,9095200.0,12770264.0,11.0,12.0,384.0,343.0,0,40.40663206966312,1.0,-10.677083333333332,0.0,
PREMIER SALES PVT LTD-GUJRAT,97780209.0,96427448.0,12.0,12.0,2110.0,1987.0,0,-1.383471168485639,0.0,-5.829383886255924,0.0,
PREMIER SALES PVT LTD-R.Y.KHAN,110007513.0,157203974.0,12.0,12.0,2164.0,2502.0,0,42.90294336533179,0.0,15.619223659889094,0.0,
PREMIER SALES PVT LTD-QUETTA,175293561.0,220209481.0,12.0,12.0,2500.0,2655.0,0,25.623257205665418,0.0,6.2,0.0,
PREMIER SALES PVT LTD-PESHAWAR,276616424.0,330668966.0,12.0,12.0,2883.0,2928.0,0,19.540611948623845,0.0,1.5608740894901143,0.0,
PREMIER SALES PVT LTD-NOWSHERA,0.0,81836127.0,0.0,8.0,0.0,1735.0,0,8183612700.0,8.0,173500.0,0.0,
PREMIER SALES PVT LTD-NAWABSHAH,97359853.0,122133696.0,12.0,12.0,1983.0,2175.0,0,25.44564544484265,0.0,9.68229954614221,0.0,
PREMIER SALES PVT LTD-NAUSHERO FERO,37646134.0,52104910.0,12.0,12.0,1050.0,1272.0,0,38.40706724361125,0.0,21.142857142857142,0.0,
WESTGATE PHARMACEUTICALS,0.0,0.0,0.0,1.0,0.0,2.0,0,0.0,1.0,200.0,0.0,
PREMIER SALES PVT LTD-MUZAFFARABAD,94660239.0,107131013.0,12.0,12.0,1886.0,1834.0,0,13.174247320461552,0.0,-2.757158006362672,0.0,
PREMIER SALES PVT LTD-MULTAN,184168175.0,230976788.0,12.0,12.0,2691.0,2832.0,0,25.416233287863115,0.0,5.2396878483835,0.0,
PREMIER SALES PVT LTD-MITHI,0.0,25748173.0,0.0,8.0,0.0,671.0,0,2574817300.0,8.0,67100.0,0.0,
PREMIER SALES PVT LTD-MIRPURKHAS,69320075.0,94244686.0,12.0,12.0,1641.0,1891.0,0,35.955833861980096,0.0,15.234613040828762,0.0,
PREMIER SALES PVT LTD-MARDAN,161568677.0,218894563.0,12.0,12.0,2444.0,2704.0,0,35.480816618929175,0.0,10.638297872340425,0.0,
PREMIER SALES PVT LTD-MANSEHRA,98806687.0,128443771.0,12.0,12.0,2032.0,2258.0,0,29.995018454570793,0.0,11.122047244094487,0.0,
PREMIER SALES PVT LTD-MANDI BAHAUDI,46515589.0,65739077.0,12.0,12.0,1420.0,1582.0,0,41.326979649768596,0.0,11.408450704225352,0.0,
PREMIER SALES PVT LTD-LAYYAH,42364967.0,128297397.0,5.0,12.0,1005.0,2221.0,0,202.83842071681536,7.0,120.99502487562188,0.0,
PREMIER SALES PVT LTD-LARKANA,87942745.0,127183927.0,12.0,12.0,1933.0,2129.0,0,44.621283995626925,0.0,10.139679255043973,0.0,
WD PHARMA,13311064.0,21491543.0,12.0,12.0,475.0,753.0,0,61.45623670654727,0.0,58.526315789473685,0.0,
PREMIER SALES PVT LTD-UMERKOT,54774995.0,60413699.0,12.0,12.0,1401.0,1377.0,0,10.294303084829128,0.0,-1.7130620985010707,0.0,
PREMIER SALES PVT LTD-TIMERGARA,146754654.0,175223832.0,12.0,12.0,2409.0,2489.0,0,19.399165357985854,0.0,3.320880033208801,0.0,
PREMIER SALES PVT LTD-THATTA,26681216.0,36637142.0,12.0,12.0,1033.0,1214.0,0,37.31436378311993,0.0,17.521781219748306,0.0,
PREMIER SALES PVT LTD-SWAT,222468113.0,291609698.0,12.0,12.0,2784.0,3101.0,0,31.07932371413606,0.0,11.386494252873563,0.0,
PREMIER SALES PVT LTD-SWABI,96261546.0,136645777.0,12.0,12.0,1940.0,2162.0,0,41.952610027684365,0.0,11.443298969072165,0.0,
PREMIER SALES PVT LTD-SUKKUR,110717262.0,143853071.0,12.0,12.0,2083.0,2238.0,0,29.92831325615693,0.0,7.441190590494479,0.0,
PREMIER SALES PVT LTD-SIALKOT,138600548.0,171591113.0,12.0,12.0,2226.0,2397.0,0,23.802622338838084,0.0,7.681940700808626,0.0,
PREMIER SALES PVT LTD-SHORKOT,0.0,4516058.0,0.0,1.0,0.0,101.0,0,451605800.0,1.0,10100.0,0.0,
PREMIER SALES PVT LTD-SHEIKHUPURA,98251671.0,127102380.0,12.0,12.0,1964.0,2274.0,0,29.364089899295454,0.0,15.784114052953157,0.0,
PREMIER SALES PVT LTD-SHAKARGARH,0.0,3503860.0,0.0,1.0,0.0,104.0,0,350386000.0,1.0,10400.0,0.0,
PREMIER SALES PVT LTD-SHAHDADPUR,34828704.0,51369703.0,12.0,12.0,1109.0,1314.0,0,47.492433252756115,0.0,18.48512173128945,0.0,
PREMIER SALES PVT LTD-SARGODHA,142259887.0,184887715.0,12.0,12.0,2414.0,2747.0,0,29.964755982127272,0.0,13.79453189726595,0.0,
