Product,Y2022,Y2023,Y2024,Y2025
ARBI TAB. 300MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
ARBI-A TAB. 100/10MG CP 1X10'S,0.0,0.0,4502763.78,3701752.52
ARBI-A TAB. 100/5MG CP 1X10'S,0.0,0.0,6078888.13,8816860.96
ARBI-D TAB. 150/12.5MG CP (IQ) 30'S,0.0,0.0,12759.960000000001,0.0
ARBI-D TAB. 150/12.5MG CP 1X10'S,19152224.25,40526004.82,44182871.63,49115771.24
ARBI-D TAB. 150MG/12.5MG CP (GTM) 1X2'S,1943.26,2398.44,1855.2600000000002,4698.1
ARBI-D TAB. 150MG/12.5MG CP (GTM) 3X10'S,13057.439999999999,18260.88,22115.28,28618.27
ARBI-D TAB. 300/12.5MG CP (GTM) 1X2'S,0.0,0.0,0.0,8245.6
ARBI-D TAB. 300/12.5MG CP (GTM) 30'S,0.0,0.0,0.0,6088.400000000001
ARBI-D TAB. 300/12.5MG CP (IQ) 30'S,7630.19,0.0,21667.6,0.0
ARBI-D TAB. 300/12.5MG CP 1X10'S,15748516.23,30665688.63,37392017.82,39748039.98
ARBI-D TAB. 300/25MG CP (IQ) 28'S,3345.6000000000004,0.0,5129.88,0.0
ARBI-D TAB. 300/25MG CP 2X7'S,3924485.5300000003,6778641.71,7722310.33,7967297.22
AVSAR PLUS 160/10/12.5MG CP (BDI) 4X7'S,0.0,0.0,1680.0,0.0
AVSAR PLUS 160/5/12.5MG CP (BDI) 4X7'S,0.0,0.0,1580.0,0.0
AVSAR PLUS TAB 160/10/12.5MG CP (GHN) 28,0.0,0.0,3549.57,0.0
AVSAR PLUS TAB 160/5/12.5MG CP (GHN) 28S,0.0,0.0,1631.85,0.0
AVSAR PLUS TAB. 160/10/12.5MG CP (AFG),0.0,0.0,336527.06,782418.79
AVSAR PLUS TAB. 160/10/12.5MG CP (KEN),0.0,1163.25,0.0,6052.109999999999
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,44225362.05,120775448.22,149318988.38,227945474.56
AVSAR PLUS TAB. 160/10/12.5MG CP(ZM)28'S,0.0,0.0,0.0,6753.25
AVSAR PLUS TAB. 160/10/25MG CP (AFG),0.0,0.0,163761.0,87891.2
AVSAR PLUS TAB. 160/10/25MG CP (GHN)28'S,0.0,0.0,3614.57,0.0
AVSAR PLUS TAB. 160/10/25MG CP 4X7'S,12094069.11,25909662.18,39129468.09,49052947.89
AVSAR PLUS TAB. 160/5/12.5MG CP (AFG),0.0,0.0,245039.68,87655.73999999999
AVSAR PLUS TAB. 160/5/12.5MG CP (KEN),0.0,1077.75,0.0,4604.8
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,42068969.13,106237824.31,135989752.02,212471654.03
AVSAR PLUS TAB. 160/5/25MG CP (GHN) 28'S,0.0,0.0,1666.34,0.0
AVSAR PLUS TAB. 160/5/25MG CP 4X7'S,4591217.84,10707536.7,14393680.38,18330140.96
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 2'S,0.0,1206.63,4093.44,14374.19
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 28S,0.0,9683.7,14246.7,30470.699999999997
AVSAR PLUS TAB. 320/10/25MG CP 4X7'S,4873790.97,12633708.44,16309178.59,21943180.41
AVSAR PLUS TAB.320/10/25MG CP RIC 64X7'S,237484.8,664090.02368,0.0,0.0
AVSAR TAB. 160/10MG (SWL) CP 4X7'S,0.0,27350.760000000002,41748.9,34800.81
AVSAR TAB. 160/10MG CP (AFG),0.0,0.0,512424.38,2448120.64
AVSAR TAB. 160/10MG CP (CMB),6631.92,0.0,0.0,0.0
AVSAR TAB. 160/10MG CP (GHN) 28'S,0.0,0.0,3080.4,0.0
AVSAR TAB. 160/10MG CP (KEN),0.0,6148.5,0.0,2738.85
AVSAR TAB. 160/10MG CP (MDV) 14’S,0.0,0.0,0.0,570.0
AVSAR TAB. 160/10MG CP (NIG) 28'S,31174.6,42083.5,36992.0,46812.9
AVSAR TAB. 160/10MG CP (PHL),0.0,17031.5,0.0,17132.5
AVSAR TAB. 160/10MG CP 2X7'S,88780438.12,234153839.12,268037029.72,386792087.9
AVSAR TAB. 160/5MG CP (AFG) 2X7'S,0.0,0.0,355881.42,1207019.42
AVSAR TAB. 160/5MG CP (CMB),4501.38,0.0,0.0,2891.0
AVSAR TAB. 160/5MG CP (GHN) 28'S,0.0,0.0,1608.0,0.0
AVSAR TAB. 160/5MG CP (KEN),0.0,5152.5,0.0,2726.76
AVSAR TAB. 160/5MG CP (NIG),20598.45,22202.76,0.0,0.0
AVSAR TAB. 160/5MG CP (SLK) 4X7'S,0.0,0.0,4599.87,33664.32
AVSAR TAB. 160/5MG CP (SWL) 28'S,0.0,17388.2,13256.8,0.0
AVSAR TAB. 160/5MG CP 2X7'S,73105048.86,168305957.71,220492985.23,318724583.82
AVSAR TAB. 160/5MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
AVSAR TAB. 80/5MG CP (AFG) 2X7'S,0.0,0.0,1430568.48,1872825.9000000001
AVSAR TAB. 80/5MG CP (CMB),1464.0,0.0,2238.5,2125.92
AVSAR TAB. 80/5MG CP (PHL),0.0,9932.75,8732.25,11200.5
AVSAR TAB. 80/5MG CP (SLK) 4X7'S,0.0,0.0,6560.960000000001,8472.46
AVSAR TAB. 80/5MG CP (SWL) 4X7'S,0.0,21659.4,29673.0,34435.5
AVSAR TAB. 80/5MG CP 2X7'S,171142374.65,427275891.77,561622027.06,699526537.0600001
AVSAR TAB. 80/5MG INST. CP 7X152'S,0.0,0.0,1299286.234,2074988.328
AVSAR TAB. 80/5MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
AXIFER INJ. 100MG/5ML CP 1X5'S,6604141.38,10384932.84,2223020.19,0.0
AZLIV TAB. 250MG CP 1X6'S,4365816.4,7407258.140000001,0.0,0.0
AZLIV TAB. 500MG CP 1X6'S,3854912.14,6440946.859999999,0.0,0.0
AZOBACT SUSP. 200MG 15ML CP (AFG),0.0,1242361.06,224451.16,0.0
AZOBACT TAB. 250MG CP (AFG) 2X6'S,218556.1,2354192.88,320673.64,413423.92000000004
AZOBACT TAB. 500MG CP (AFG) 1X6'S,1274425.08,2118528.4,629915.3,727725.77
BANDRIO TAB. 150MG CP (GTM) 1X1'S,0.0,33630.92,0.0,6052.5
BEMPION EZ TAB. 180/10MG CP 1X10'S,0.0,0.0,0.0,4002274.75
BEMPION TAB. 180MG CP 1X10'S,0.0,0.0,0.0,3659083.3
BESTRIX INJ. 1000MG IV CP,4017598.2,7825079.71,9365340.600000001,8758734.6
BESTRIX INJ. 1000MG IV PS,1018402.28,1257559.17,1940561.7000000002,1714158.6
BESTRIX INJ. 250MG IM CP,1882151.74,5692925.49,2863707.0,4670727.600000001
BESTRIX INJ. 250MG IM PS,645009.54,1428086.31,1098381.9000000001,709747.5
BESTRIX INJ. 250MG IV CP,1282846.9500000002,4178042.2600000002,2132014.5000000005,2489232.9000000004
BESTRIX INJ. 500MG IM CP,1361800.65,3931148.48,2705887.8000000003,4534761.0
BESTRIX INJ. 500MG IV CP,3018562.68,4726704.64,5809881.0,7532240.100000001
BEVEC 100MG/4ML 1X1'S,1279322.0,7650178.0,9119539.2,15384783.6
BEVEC 400MG/16ML 1X1'S,3092541.0,25191450.0,36037150.0,66569402.04
BONGARD TAB. 70MG CP (CMB),0.0,547.2,0.0,0.0
BONGARD TAB. 70MG CP (KEN),5469.0,9777.0,5346.0,4938.0
BONGARD TAB. 70MG CP (MDV),300.0,675.0,455.0,0.0
BONGARD TAB. 70MG CP (MMR),0.0,866.7,1267.8,2083.0
BONGARD TAB. 70MG CP (SLK),0.0,0.0,-3963.98,-96.38000000000011
BONGARD TAB. 70MG PS (SLK),0.0,0.0,0.0,0.0
BUSONIDE CAP. 200/6 MCG CP (AFG) 3X10'S,0.0,0.0,0.0,67106.48
BUSONIDE CAP. 200/6 MCG CP 3X10'S,0.0,6602548.3,15012167.379999999,17105513.61
BUSONIDE CAP. 400/12 MCG CP (AFG) 30'S,0.0,0.0,0.0,67584.4
BUSONIDE CAP. 400/12 MCG CP 3X10'S,0.0,32167732.39,79645921.98,119377546.44
BYVAS TAB 5MG CP (GTM) 1X2'S,1973.6,5516.4,272.0,9690.8
BYVAS TAB 5MG CP (GTM) 4X7'S,5426.16,2721.36,-1984.4399999999996,8440.14
BYVAS TAB. 10MG CP 2X7'S,4759551.35,12732564.59,16043370.19,19782254.15
BYVAS TAB. 2.5MG CP (IQ) 4X7'S,0.0,8079.75,16328.7,10717.2
BYVAS TAB. 2.5MG CP 2X7'S,12024431.93,40129133.06,57429909.91,110891359.65
BYVAS TAB. 5MG CP (IQ) 4X7'S,25741.6,27638.8,65877.0,9742.8
BYVAS TAB. 5MG CP 2X7'S,26300982.95,77783671.43,114818387.31,168257109.51
CEZOX CAP. 400MG CP,1282284.0,3630057.3,6015378.6,6053218.2
CEZOX CAP. 400MG PS,760530.0,807211.75,1238090.0,1338858.75
CEZOX DS SUSP. CP 30ML,1387926.0,2068338.6,2535315.3,2697934.5
