Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2024,7,NISE,BONE SAVIORS,64020042.7735,246574.0,NISE,BONE SAVIORS,2091181.15,18
2024,7,ONITA,ELITE,12662153.6475,10732.0,ONITA,ELITE,398499.03,4
2024,7,OPT-D,ELITE,29301042.453600004,124367.0,OPT-D,ELITE,1067004.3,23
2024,7,ORSLIM,WARRIORS,58013674.067,26688.0,ORSLIM,WARRIORS,1274721.51,24
2024,7,PARIDOPA,TITANS,8153888.295,5397.0,PARIDOPA,TITANS,589410.0,4
2024,7,RAMIPACE,CHAMPIONS,41767402.7409,67098.0,RAMIPACE,CHAMPIONS,595643.63,12
2024,7,SACVIN,ALPHA,37786714.4414,26813.0,SACVIN,ALPHA,2719751.7,41
2024,7,SHEVIT,WARRIORS,4332220.9518,8761.0,SHEVIT,WARRIORS,732155.2,10
2024,7,SPARLIV,TITANS,2906090.3544,3678.0,SPARLIV,TITANS,2109625.7,16
2024,7,TELSARTA,NAVIGATORS,6824789.7924,25567.0,TELSARTA,NAVIGATORS,269570.43,4
2024,7,TELSARTA-A,NAVIGATORS,21367022.5581,51982.0,TELSARTA-A,NAVIGATORS,252846.0,7
2024,7,THEWRIL,BONE SAVIORS,3759068.3932,6336.0,THEWRIL,BONE SAVIORS,5000.0,1
2024,7,TREATAN,METABOLIZERS,12868530.1282,31275.0,TREATAN,METABOLIZERS,633926.92,11
2024,7,VOXAMINE,TITANS,7656864.0892,16763.0,VOXAMINE,TITANS,2231927.7,12
2024,7,XILICA,TITANS,11354939.6502,28099.0,XILICA,TITANS,2672839.6,28
2024,7,ZIBES,ALPHA,5236730.1,36762.0,ZIBES,ALPHA,204000.0,3
2024,8,ANPLAG,CHAMPIONS,24277142.3082,17910.0,ANPLAG,CHAMPIONS,457990.05,5
2024,8,ARBI,WINNERS,4055606.2741,11516.0,ARBI,WINNERS,535198.5,6
2024,8,AVSAR,CHALLENGERS,131745189.3577,290016.0,AVSAR,CHALLENGERS,4872138.0,46
2024,8,AVSAR PLUS,BRAVO,44009361.8175,97178.0,AVSAR PLUS,BRAVO,3632503.3,42
2024,8,BYVAS,LEGENDS,24785623.0707,88083.0,BYVAS,LEGENDS,3632125.7,45
2024,8,DAPWIZ,LEGENDS,8064794.4073,25377.0,DAPWIZ,LEGENDS,1535472.5,23
2024,8,DIPOF,MAVERICKS,1709504.6344,7288.0,DIPOF,MAVERICKS,1025214.0,5
2024,8,DUZALTA,MAVERICKS,19510972.7911,33454.0,DUZALTA,MAVERICKS,3210698.9,15
2024,8,ERLI,BRAVO,15548281.6876,36253.0,ERLI,BRAVO,885042.0,14
2024,8,ERLINA,WINNERS,18658839.43,31990.0,ERLINA,WINNERS,1939873.95,32
2024,8,ESTAR,MAVERICKS,14398668.5745,48890.0,ESTAR,MAVERICKS,310000.0,1
2024,8,ESTAR,TITANS,34306594.3925,79162.0,ESTAR,TITANS,4656201.85,58
2024,8,EVOKALM,MAVERICKS,8051661.1091,30184.0,EVOKALM,MAVERICKS,511972.0,5
2024,8,EVOPRIDE,WINNERS,17951503.3286,30602.0,EVOPRIDE,WINNERS,124307.0,2
2024,8,EVOPRIDE PLUS,WINNERS,25187541.2992,58737.0,EVOPRIDE PLUS,WINNERS,637914.0,12
2024,8,FEMOVA,GLADIATORS,14806510.1616,13791.0,FEMOVA,GLADIATORS,1299265.5,18
2024,8,FERFER,GLADIATORS,18819591.7853,25043.0,FERFER,GLADIATORS,4488148.0,49
2024,8,INOSITA PLUS,METABOLIZERS,98119125.7131,94381.0,INOSITA PLUS,METABOLIZERS,3208119.9,47
2024,8,KALSOB,BONE SAVIORS,24402212.2368,39184.0,KALSOB,BONE SAVIORS,2183763.6,38
2024,8,KLEVRA,MAVERICKS,7979331.4823,7860.0,KLEVRA,MAVERICKS,3308880.0,9
2024,8,LOWPLAT,CHALLENGERS,80750876.71530001,342158.0,LOWPLAT,CHALLENGERS,3448015.79,43
2024,8,LOWPLAT PLUS,LEGENDS,109987459.5724,435289.0,LOWPLAT PLUS,LEGENDS,3635978.1,42
2024,8,NISE,BONE SAVIORS,65684812.1547,253271.0,NISE,BONE SAVIORS,3276760.9000000004,60
2024,8,ONITA,ELITE,13467206.2,11412.0,ONITA,ELITE,806180.21,21
2024,8,OPT-D,ELITE,34463165.992800005,144335.0,OPT-D,ELITE,595718.61,18
2024,8,ORSLIM,WARRIORS,63099312.8535,29048.0,ORSLIM,WARRIORS,2925789.56,40
2024,8,PARIDOPA,TITANS,7707445.925,5001.0,PARIDOPA,TITANS,1738163.4,22
2024,8,RAMIPACE,CHAMPIONS,39255339.532400005,63152.0,RAMIPACE,CHAMPIONS,261775.0,5
2024,8,SACVIN,ALPHA,37934622.4038,26747.0,SACVIN,ALPHA,3100861.98,24
2024,8,SHEVIT,WARRIORS,9327937.686599998,18875.0,SHEVIT,WARRIORS,3117549.4,30
2024,8,SPARLIV,TITANS,3783349.1858,4804.0,SPARLIV,TITANS,936673.75,10
2024,8,TELSARTA,NAVIGATORS,7299348.1524,27220.0,TELSARTA,NAVIGATORS,857355.05,13
2024,8,TELSARTA-A,NAVIGATORS,19135314.7288,45720.0,TELSARTA-A,NAVIGATORS,747328.0,6
