City,Yr,Revenue,Qty,Products
CRITICARE PHARMACEUTICALS,2025.0,239040.0,1150.0,4
CRITICARE PHARMACEUTICALS (PVT) LTD,2025.0,0.0,1303.0,2
CROWN PHARMACEUTICALS (PVT) LTD,2024.0,0.0,112.0,5
CROWN PHARMACEUTICALS (PVT) LTD,2025.0,0.0,114.0,4
CRYSTAL AGENCIES,2024.0,27926842.89,107502.0,129
CRYSTAL AGENCIES,2025.0,28505899.26,112963.36,150
Chakwal,2024.0,66486672.63,207171.0,193
Chakwal,2025.0,87851618.27,252511.0,195
Chemist & Druggist,2025.0,0.0,90.0,2
"Children Hospital, Faisalabad",2025.0,198047.24,745.0,3
"Cpmc, Medical Store",2024.0,4119866.1500000004,55136.0,4
"Cpmc, Medical Store",2025.0,3385483.6999999997,25912.0,6
D.G.Khan,2024.0,119935518.65,384756.0,205
D.G.Khan,2025.0,148922283.4,427642.0,204
D.I.Khan,2024.0,94709800.4,283396.0,183
D.I.Khan,2025.0,118268459.83,314628.0,179
DNS ENTERPRISES,2025.0,540869.0,3325.0,7
DYNAM PHARMA,2025.0,213702.58,755.0,10
Dadu,2024.0,57348383.6,187326.0,176
Dadu,2025.0,84048303.61,243731.0,177
EASA BUSINESS GROUP,2024.0,0.0,83.0,4
EASA BUSINESS GROUP,2025.0,0.0,23.0,3
ENERGIA PHARMA LTD. KENYA,2024.0,0.0,0.0,2
ENERGIA PHARMA LTD. KENYA,2025.0,0.0,0.0,1
ENERGIA PHARMA SERVICES NV,2024.0,32142.86,5629.0,9
ENERGIA PHARMA SERVICES NV,2025.0,10852.81,4547.0,13
EXECUTIVE DIRECTOR P.I.M.H. LAHORE,2025.0,0.0,0.0,3
FAISAL PHARMA,2024.0,921378.55,7356.07,36
FAISAL PHARMA,2025.0,228525.45,3036.0,8
FAISALABAD INST.OF CARDIOLOGY,2025.0,0.0,7420.544,3
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,2024.0,691209.9,1537.0,6
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,2025.0,790821.98,1647.0,5
FAUJI FOUNDATION HOSP. LAHORE,2025.0,475479.41,1107.0,8
FAUJI FOUNDATION HOSP. PESHAWAR,2025.0,249425.5,1655.0,9
FAUJI FOUNDATION HOSP. RAWALPINDI,2025.0,1589011.7,4643.0,23
FEROZSONS LABORTORIES LTD,2024.0,0.0,15.0,1
FEROZSONS LABORTORIES LTD,2025.0,0.0,60.0,1
Faisalabad,2024.0,201009391.75,663223.0,215
Faisalabad,2025.0,240579346.34,688437.0,212
Fateh Medicine Company,2024.0,93214538.0,287725.0,200
Fateh Medicine Company,2025.0,47595147.24,136335.0,179
Fb,2024.0,216556982.44,779796.0,219
Fb,2025.0,280784759.32,859681.0,221
GOVT GEN HOSP (FSD TEACHING HOSP),2025.0,0.0,1140.0,3
Ghotki,2024.0,57100671.59,186275.0,174
Ghotki,2025.0,88111108.47,240658.0,187
Gilgit,2024.0,33712923.13,105740.0,124
Gilgit,2025.0,44090701.27,128856.0,127
Globe Pharmacy Ltd.,2024.0,0.0,140.0,3
Globe Pharmacy Ltd.,2025.0,0.0,409.0,3
Gujjar Khan,2024.0,52415118.37,166248.0,193
Gujjar Khan,2025.0,66131434.31,200901.0,190
Gujranwala,2024.0,128284148.59,414261.0,199
Gujranwala,2025.0,152137723.41,455067.0,196
Gujrat,2024.0,97780239.57000001,309125.0,197
Gujrat,2025.0,96427454.54,275811.0,185
Gwadar,2024.0,9095197.14,32757.0,48
Gwadar,2025.0,12770268.27,38188.0,43
HAQ ENTERPRISES,2024.0,0.0,1958.97,3
HAQ ENTERPRISES,2025.0,0.0,842.294,3
HARLEY'S LIMITED,2024.0,8855.06,3652.0,7
