City,Revenue,Trips,RevPerTrip,OpportunityScore,Priority
Nusrat Pharma,23708909.0,0.0,23708909.0,41.6,🟡 Needs Attention
Gwadar,21865464.0,0.0,21865464.0,41.5,🟡 Needs Attention
MEDICATE  INTERNATIONAL,21311732.0,0.0,21311732.0,41.5,🟡 Needs Attention
HEALTHLINK ENTERPRISES,22155086.0,0.0,22155086.0,41.5,🟡 Needs Attention
ONE TIME BUYER,20224506.0,0.0,20224506.0,41.4,🟡 Needs Attention
Ajk,18778069.0,0.0,18778069.0,41.3,🟡 Needs Attention
MAX ENTERPRISES,16678170.0,0.0,16678170.0,41.1,🟡 Needs Attention
Islamabad Inst Dis,13301530.0,0.0,13301530.0,40.9,🟡 Needs Attention
HEALTH CARE ENTERPRISES,12023640.0,0.0,12023640.0,40.8,🟡 Needs Attention
AL KHIDMAT PHARMACY SERVICES,10001217.0,0.0,10001217.0,40.7,🟡 Needs Attention
JAMIL TRADERS,10778093.0,0.0,10778093.0,40.7,🟡 Needs Attention
AHMED BIN QASIM,7215031.0,0.0,7215031.0,40.5,🟡 Needs Attention
"Cpmc, Medical Store",7505342.0,0.0,7505342.0,40.5,🟡 Needs Attention
JINDANI TRADERS,6855950.0,0.0,6855950.0,40.5,🟡 Needs Attention
PUNJAB UNIVERSITY,7101709.0,0.0,7101709.0,40.5,🟡 Needs Attention
PHARMA SOLUTION,5752335.0,0.0,5752335.0,40.4,🟡 Needs Attention
TFMF PHARMA DISTRIBUTOR,5604036.0,0.0,5604036.0,40.4,🟡 Needs Attention
REMEDIAL ENTERPRISES,5131213.0,0.0,5131213.0,40.4,🟡 Needs Attention
SCITECH HEALTH (PVT) LTD.(QnE),4590898.0,0.0,4590898.0,40.3,🟡 Needs Attention
Shorkot,4516058.0,0.0,4516058.0,40.3,🟡 Needs Attention
ORAH LIFE (PVT) LTD.,3862152.0,0.0,3862152.0,40.3,🟡 Needs Attention
NEW TAMEER ENTERPRISES,4024492.0,0.0,4024492.0,40.3,🟡 Needs Attention
Shakargarh,3503860.0,0.0,3503860.0,40.2,🟡 Needs Attention
Afg,2810991.0,0.0,2810991.0,40.2,🟡 Needs Attention
SITECH PHARMACEUTICALS (PVT.) LTD.,2810495.0,0.0,2810495.0,40.2,🟡 Needs Attention
MED N TECH PHARMA,2666480.0,0.0,2666480.0,40.2,🟡 Needs Attention
Tauras Medical Company,2201070.0,0.0,2201070.0,40.2,🟡 Needs Attention
P.E.S.S.I LAHORE,2055625.0,0.0,2055625.0,40.1,🟡 Needs Attention
TANVEER ENTERPRISES,1110268.0,0.0,1110268.0,40.1,🟡 Needs Attention
FAISAL PHARMA,1149905.0,0.0,1149905.0,40.1,🟡 Needs Attention
JADE E SERVICES PAKISTAN (PVT) LTD,796640.0,0.0,796640.0,40.1,🟡 Needs Attention
AGLOW HEALTHCARE (PVT.) LTD.,2090256.0,0.0,2090256.0,40.1,🟡 Needs Attention
FAUJI FOUNDATION HOSP. RAWALPINDI,1589012.0,0.0,1589012.0,40.1,🟡 Needs Attention
FATMIYAH HOSP. C/O REMEDIAL ENTERPR,1482035.0,0.0,1482035.0,40.1,🟡 Needs Attention
Peshawar Institute of Cardiology,1122425.0,0.0,1122425.0,40.1,🟡 Needs Attention
CRITICARE PHARMACEUTICALS,1113492.0,0.0,1113492.0,40.1,🟡 Needs Attention
RAWALPINDI INSTITUTE OF CARDIOLOGY,1025678.0,0.0,1025678.0,40.1,🟡 Needs Attention
AZEEM ENTERPRISES,1063405.0,0.0,1063405.0,40.1,🟡 Needs Attention
S&T CORPORATION,2003602.0,0.0,2003602.0,40.1,🟡 Needs Attention
NABI QASIM INDUSTRIES (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
NOOR ENTERPRISES LAHORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
NOVIPHARM ENTERPRISES,0.0,0.0,0.0,40.0,🟢 Good Coverage
N.S. TRADERS,0.0,0.0,0.0,40.0,🟢 Good Coverage
N.G.GROUP,0.0,0.0,0.0,40.0,🟢 Good Coverage
"NACOPHARM MB CO., LTD",264.0,0.0,264.0,40.0,🟢 Good Coverage
NEW MAJEED MEDICINE CO.,335342.0,0.0,335342.0,40.0,🟢 Good Coverage
Pharma,3180.0,0.0,3180.0,40.0,🟢 Good Coverage
ONCOLINK PHARMA DISTRIBUTORS,0.0,0.0,0.0,40.0,🟢 Good Coverage
OTSUKA PAKISTAN LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
SKY HEALTHCARE LTD,1552.0,0.0,1552.0,40.0,🟢 Good Coverage
SN INTERNATIONAL,28498.0,0.0,28498.0,40.0,🟢 Good Coverage
SOMH FF KARACHI,577500.0,0.0,577500.0,40.0,🟢 Good Coverage
STATE PHARMACEUTICALS CORPORATION,0.0,0.0,0.0,40.0,🟢 Good Coverage
Services Gen. Hosp. Lahore,0.0,0.0,0.0,40.0,🟢 Good Coverage
Sihiya Company,0.0,0.0,0.0,40.0,🟢 Good Coverage
Stock Co,0.0,0.0,0.0,40.0,🟢 Good Coverage
Syed Abdullah Shah Institute Sehwan,0.0,0.0,0.0,40.0,🟢 Good Coverage
TABBA HEART INST. C/O M.ABDULLAH EN,299098.0,0.0,299098.0,40.0,🟢 Good Coverage
THREE M ENTERPRISES LAHORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
"The Children's Hospital, Lahore",247500.0,0.0,247500.0,40.0,🟢 Good Coverage
Tt Singh,0.0,0.0,0.0,40.0,🟢 Good Coverage
WEME,0.0,0.0,0.0,40.0,🟢 Good Coverage
WESTGATE PHARMACEUTICALS,0.0,0.0,0.0,40.0,🟢 Good Coverage
Wazirabad institute of Cardiology,0.0,0.0,0.0,40.0,🟢 Good Coverage
YASMINA PHARMA SARL,5000.0,0.0,5000.0,40.0,🟢 Good Coverage
ZAIDI TRADERS,0.0,0.0,0.0,40.0,🟢 Good Coverage
SCILIFE PHARMA (PVT.) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
SAP HEALTH LIMITED COMPANY,3298.0,0.0,3298.0,40.0,🟢 Good Coverage
SAMI PHARMACEUTICAL (PVT) LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
PRIX PHARMA SH.P.K,19935.0,0.0,19935.0,40.0,🟢 Good Coverage
PAKISTAN MEDICAL SUPPLY CORP,0.0,0.0,0.0,40.0,🟢 Good Coverage
PAKISTAN VACCINE HOUSE,104476.0,0.0,104476.0,40.0,🟢 Good Coverage
PATIENT'S CARE,0.0,0.0,0.0,40.0,🟢 Good Coverage
PHARMA CURE INTERNATIONAL,363674.0,0.0,363674.0,40.0,🟢 Good Coverage
PHARMATEC PAKISTAN (PVT) LTD.,0.0,0.0,0.0,40.0,🟢 Good Coverage
PHARMEVO (PVT) LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
PRIME PHARMA COMPANY,13278.0,0.0,13278.0,40.0,🟢 Good Coverage
PUNJAB INSTITUTE OF CARDIOLOGY,0.0,0.0,0.0,40.0,🟢 Good Coverage
SAHEL PROMO SARL,4871.0,0.0,4871.0,40.0,🟢 Good Coverage
MS CPEIC MULTAN,12352.0,0.0,12352.0,40.0,🟢 Good Coverage
Qatar,7893.0,0.0,7893.0,40.0,🟢 Good Coverage
RATANAK PHARMA CO. LTD,0.0,0.0,0.0,40.0,🟢 Good Coverage
REHMAN BROTHERS,487571.0,0.0,487571.0,40.0,🟢 Good Coverage
RGS INNOVATIVE HEALTH SCIENCES,0.0,0.0,0.0,40.0,🟢 Good Coverage
RIZWAN MEDICINE COMPANY,707527.0,0.0,707527.0,40.0,🟢 Good Coverage
Rwp,0.0,0.0,0.0,40.0,🟢 Good Coverage
MS Teaching Hosp. DG Khan,0.0,0.0,0.0,40.0,🟢 Good Coverage
A.A. TRADERS,315329.0,0.0,315329.0,40.0,🟢 Good Coverage
